City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Totness,SR,5.8833,-56.3167,78.01,85,90,8.37,overcast clouds
293,Nioro,GM,13.35,-15.75,77.81,49,5,7.05,clear sky
294,Outlook,CA,51.5001,-107.0513,53.6,16,100,9.22,overcast clouds
295,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,20,6.91,few clouds
296,Loanda,AO,-8.8368,13.2343,78.8,83,75,5.75,broken clouds
297,Kaeo,NZ,-35.1,173.7833,75.0,79,21,3.0,few clouds
298,Marzuq,YE,14.4,46.4667,66.42,17,0,5.97,clear sky
299,Lorengau,PG,-2.0226,147.2712,81.57,85,100,17.58,light rain
300,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.95,85,93,2.44,overcast clouds
301,Fare,PF,-16.7,-151.0167,82.33,73,33,11.01,scattered clouds
302,Bodden Town,KY,19.2833,-81.25,80.6,83,40,11.5,scattered clouds
303,Yamada,JP,39.4667,141.95,48.76,42,0,3.18,clear sky
304,Kingaroy,AU,-26.5333,151.8333,71.6,46,10,12.66,clear sky
305,Oranjemund,NA,-28.55,16.4333,61.41,85,5,6.15,clear sky
306,Jinchang,CN,38.4953,102.1739,50.95,31,99,3.74,overcast clouds
307,Quatre Cocos,MU,-20.2078,57.7625,79.0,78,75,11.5,broken clouds
308,Almaty,KZ,43.25,76.95,44.6,70,20,8.39,few clouds
309,Santa Cruz,BO,-17.8,-63.1667,77.0,83,40,11.5,scattered clouds
310,Morros,BR,-9.4467,-46.3003,75.97,61,85,3.56,overcast clouds
311,Finsterwalde,DE,51.6333,13.7167,44.6,93,75,11.5,broken clouds
312,Taltal,CL,-25.4,-70.4833,65.5,81,79,3.89,broken clouds
313,Bengkulu,ID,-3.8004,102.2655,75.7,86,54,3.83,broken clouds
314,Mareeba,AU,-17.0,145.4333,86.0,70,72,2.3,broken clouds
315,Kieta,PG,-6.2167,155.6333,77.92,90,100,5.7,moderate rain
316,Varnavino,RU,57.4035,45.0916,31.12,98,66,3.4,broken clouds
317,Cartagena,CO,10.3997,-75.5144,79.61,82,64,11.99,broken clouds
318,Bilma,NE,18.6853,12.9164,83.17,7,89,9.73,overcast clouds
319,Ayagoz,KZ,47.9714,80.4392,29.7,88,4,15.57,clear sky
320,Linxia,CN,35.6003,103.2064,41.65,89,100,2.59,overcast clouds
321,Waterloo,CA,43.4668,-80.5164,62.01,67,75,13.8,broken clouds
322,Hennenman,ZA,-27.9765,27.0242,63.86,41,0,3.94,clear sky
323,Tokmak,UA,47.2514,35.7058,41.54,68,10,9.28,clear sky
324,Saldanha,ZA,-33.0117,17.9442,60.8,88,100,9.66,overcast clouds
325,Lompoc,US,34.6391,-120.4579,57.2,67,1,19.57,clear sky
326,Valparaiso,CL,-33.0393,-71.6273,60.8,59,0,17.27,clear sky
327,Maceio,BR,-9.6658,-35.7353,71.6,100,75,3.44,broken clouds
328,Plettenberg Bay,ZA,-34.0527,23.3716,62.4,76,100,1.86,overcast clouds
329,Thinadhoo,MV,0.5333,72.9333,83.05,68,91,10.98,overcast clouds
330,Brae,GB,60.3964,-1.353,32.0,86,20,5.75,few clouds
331,San Andres,CO,12.5847,-81.7006,82.4,78,90,4.61,overcast clouds
332,Masumbwe,TZ,-3.6333,32.1833,61.84,96,99,1.01,overcast clouds
333,Arcachon,FR,44.5875,-1.0519,53.6,100,75,2.3,broken clouds
334,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,90,21.85,moderate rain
335,Yulara,AU,-25.2406,130.9889,64.4,45,0,16.11,clear sky
336,Goundam,ML,16.4145,-3.6708,85.96,9,0,9.35,clear sky
337,Opunake,NZ,-39.4556,173.8583,68.0,90,36,4.0,scattered clouds
338,Harper,LR,4.375,-7.7169,80.44,82,99,6.93,overcast clouds
339,Iqaluit,CA,63.7506,-68.5145,23.0,86,90,16.11,overcast clouds
340,Yumen,CN,40.2833,97.2,49.41,52,89,17.98,overcast clouds
341,Ayan,RU,56.45,138.1667,28.92,87,99,10.6,overcast clouds
342,Killybegs,IE,54.6333,-8.45,33.01,94,17,1.01,few clouds
343,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,75,1.14,broken clouds
344,Farias Brito,BR,-6.9306,-39.5656,82.4,69,0,6.91,clear sky
345,Asfi,MA,32.2994,-9.2372,60.55,85,0,4.0,clear sky
346,Guadalajara,MX,20.6667,-103.3333,91.0,5,1,13.8,clear sky
