City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Kostomuksha,RU,2021-04-10 23:27:09,64.571,30.5767,28.42,93,95,9.51
213,Geri,CY,2021-04-10 23:27:09,35.1,33.4167,46.4,66,20,9.22
214,Gambo,CF,2021-04-10 23:27:09,4.6482,22.2633,69.87,94,100,3.83
215,Krotoszyn,PL,2021-04-10 23:27:10,51.6987,17.4374,48.0,94,100,5.3
216,Dolores,AR,2021-04-10 23:27:10,-36.3132,-57.6792,66.25,97,100,11.18
217,San Joaquin,US,2021-04-10 23:27:10,37.9333,-121.3011,79.0,31,1,11.5
218,Kimbe,PG,2021-04-10 23:27:11,-5.5502,150.1429,76.8,93,100,2.28
219,Ulaanbaatar,MN,2021-04-10 23:25:51,47.9077,106.8832,28.4,86,40,8.95
220,Robat Karim,IR,2021-04-10 23:27:11,35.4846,51.0829,71.6,37,0,6.91
221,Klaksvik,FO,2021-04-10 23:25:36,62.2266,-6.589,30.2,80,75,6.91
222,Port Pirie,AU,2021-04-10 23:27:11,-33.1833,138.0167,62.6,59,90,16.11
223,Orlik,RU,2021-04-10 23:27:12,52.5178,99.825,12.4,88,60,2.57
224,Kushiro,JP,2021-04-10 23:27:12,42.975,144.3747,46.4,42,20,2.3
225,Yulara,AU,2021-04-10 23:27:04,-25.2406,130.9889,64.4,45,0,16.11
226,Mackay,AU,2021-04-10 23:27:12,-21.15,149.2,82.99,78,6,11.5
227,Les Cayes,HT,2021-04-10 23:27:13,18.2,-73.75,77.31,76,99,7.54
228,Gondanglegi,ID,2021-04-10 23:27:13,-7.7479,112.0132,75.27,91,70,3.4
229,Witu,KE,2021-04-10 23:27:13,-2.3889,40.4382,80.6,89,40,6.93
230,Birjand,IR,2021-04-10 23:27:13,32.8663,59.2211,59.0,15,0,9.22
231,Aykhal,RU,2021-04-10 23:27:14,66.0,111.5,-4.99,97,95,4.25
232,Kununurra,AU,2021-04-10 23:27:14,-15.7667,128.7333,77.0,83,98,3.44
233,Marsh Harbour,BS,2021-04-10 23:27:14,26.5412,-77.0636,76.14,66,2,15.86
234,Atambua,ID,2021-04-10 23:27:15,-9.1061,124.8925,74.41,77,83,2.15
235,Leshukonskoye,RU,2021-04-10 23:27:15,64.8989,45.7622,37.85,92,100,13.89
236,Lebu,CL,2021-04-10 23:24:41,-37.6167,-73.65,53.19,85,0,9.46
237,Aklavik,CA,2021-04-10 23:26:15,68.2191,-135.0107,-0.4,50,20,8.05
238,Kurilsk,RU,2021-04-10 23:27:15,45.2333,147.8833,33.76,84,10,9.84
239,Natchez,US,2021-04-10 23:27:16,31.5604,-91.4032,78.8,50,40,9.22
240,Constitucion,CL,2021-04-10 23:20:56,-35.3333,-72.4167,53.94,81,0,12.1
241,Hualmay,PE,2021-04-10 23:27:16,-11.0964,-77.6139,70.03,85,46,5.73
242,Ust-Kulom,RU,2021-04-10 23:27:10,61.6864,53.6902,25.25,98,21,2.44
243,Tsaratanana,MG,2021-04-10 23:27:17,-16.7833,47.65,70.79,88,89,6.62
244,Anloga,GH,2021-04-10 23:27:17,5.7947,0.8973,82.4,83,20,6.91
245,Riverton,US,2021-04-10 23:27:17,40.5219,-111.9391,68.0,26,1,14.97
246,Kiama,AU,2021-04-10 23:27:17,-34.6833,150.8667,60.01,52,0,8.01
247,Sarakhs,IR,2021-04-10 23:27:12,36.5449,61.1577,59.0,47,38,1.68
248,Ostrovnoy,RU,2021-04-10 23:27:18,68.0531,39.5131,31.42,85,39,23.89
249,Afrikanda,RU,2021-04-10 23:27:18,67.4429,32.7828,28.99,86,35,11.72
250,Pozo Colorado,PY,2021-04-10 23:27:18,-23.4923,-58.7972,88.23,41,42,6.17
251,Mayor Pablo Lagerenza,PY,2021-04-10 23:27:19,-19.9309,-60.7718,84.65,54,84,9.75
252,Inirida,CO,2021-04-10 23:27:19,3.8653,-67.9239,72.3,98,100,0.6
253,Nanortalik,GL,2021-04-10 23:24:22,60.1432,-45.2371,34.84,86,87,11.43
254,Bosaso,SO,2021-04-10 23:27:19,11.2842,49.1816,79.63,55,0,11.34
255,Zambezi,ZM,2021-04-10 23:27:20,-13.5432,23.1047,64.42,69,36,4.72
256,Kropotkin,RU,2021-04-10 23:27:20,45.4375,40.5756,42.01,82,100,3.89
257,Sawtell,AU,2021-04-10 23:27:20,-30.3833,153.1,69.8,52,3,10.36
258,La Paz,BO,2021-04-10 23:25:28,-16.5,-68.15,46.4,76,75,11.5
259,Svetlaya,RU,2021-04-10 23:27:21,46.5389,138.3297,44.44,49,5,7.34
260,Magadan,RU,2021-04-10 23:27:21,59.5667,150.8,14.22,65,79,11.05
261,Hermanus,ZA,2021-04-10 23:24:56,-34.4187,19.2345,60.01,92,100,1.01
